uvrstitev,id,naslov,avtor,povp_ocena,st_ocen,ocena,st_glasov,zbirka,zap_st_knjige_v_zbirki
1,136251,Harry Potter and the Deathly Hallows,J.K. Rowling,4.61,3105897,403410,4078,Harry Potter,7
2,2767052,The Hunger Games,Suzanne Collins,4.32,7026470,300983,3072,The Hunger Games,1
3,77203,The Kite Runner,Khaled Hosseini,4.31,2654813,265775,2699,,
4,19063,The Book Thief,Markus Zusak,4.38,2062063,259185,2640,,
5,1,Harry Potter and the Half-Blood Prince,J.K. Rowling,4.57,2709360,225993,2327,Harry Potter,6
6,2,Harry Potter and the Order of the Phoenix,J.K. Rowling,4.50,2795062,205245,2132,Harry Potter,5
7,4667024,The Help,Kathryn Stockett,4.46,2357013,168410,1742,,
8,128029,A Thousand Splendid Suns,Khaled Hosseini,4.39,1270499,165450,1694,,
9,4214,Life of Pi,Yann Martel,3.92,1439770,152204,1562,,
10,6148028,Catching Fire,Suzanne Collins,4.30,2826143,150101,1575,The Hunger Games,2
11,2429135,The Girl with the Dragon Tattoo,Stieg Larsson,4.15,2828449,145551,1513,Millennium,1
12,18619684,The Time Traveler's Wife,Audrey Niffenegger,3.98,1659609,141520,1453,,
13,11870085,The Fault in Our Stars,John Green,4.18,4042054,131850,1374,,
14,968,The Da Vinci Code,Dan Brown,3.88,2088985,126280,1315,Robert Langdon,2
15,6288,The Road,Cormac McCarthy,3.97,780953,122302,1254,,
16,1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,1303040,112959,1178,,
17,43641,Water for Elephants,Sara Gruen,4.09,1468658,112537,1172,,
18,7260188,Mockingjay,Suzanne Collins,4.05,2611661,104816,1123,The Hunger Games,3
19,2187,Middlesex,Jeffrey Eugenides,4.01,607684,87035,899,,
20,12232938,The Lovely Bones,Alice Sebold,3.83,2144370,86207,907,,
21,41865,Twilight,Stephenie Meyer,3.62,5466724,84365,885,The Twilight Saga,1
22,13335037,Divergent,Veronica Roth,4.17,3259881,84177,901,Divergent,1
23,28187,The Lightning Thief,Rick Riordan,4.27,2287266,82741,881,Percy Jackson and the Olympians,1
24,6867,Atonement,Ian McEwan,3.91,472423,82102,860,,
25,1232,The Shadow of the Wind,Carlos Ruiz Zafón,4.27,531216,76802,802,The Cemetery of Forgotten Books,1
26,30165203,American Gods,Neil Gaiman,4.10,825185,75596,785,American Gods,1
27,256683,City of Bones,Cassandra Clare,4.09,1772484,75280,798,The Mortal Instruments,1
28,37435,The Secret Life of Bees,Sue Monk Kidd,4.07,1180853,72698,768,,
29,4588,Extremely Loud &amp; Incredibly Close,Jonathan Safran Foer,3.96,404681,72066,745,,
30,7445,The Glass Castle,Jeannette Walls,4.28,999758,71562,754,,
31,960,Angels &amp; Demons,Dan Brown,3.92,2875187,68003,724,Robert Langdon,1
32,10917,My Sister's Keeper,Jodi Picoult,4.08,1112819,67970,719,,
33,6334,Never Let Me Go,Kazuo Ishiguro,3.83,546683,64700,681,,
34,5060378,The Girl Who Played with Fire,Stieg Larsson,4.24,861287,62542,676,Millennium,2
35,49628,Cloud Atlas,David Mitchell,4.00,236040,55161,574,,
36,39832183,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.17,669781,51577,549,,
37,1162543,Breaking Dawn,Stephenie Meyer,3.71,1455209,51342,555,The Twilight Saga,4
38,1656001,The Host,Stephenie Meyer,3.85,952663,51253,550,The Host,1
39,428263,Eclipse,Stephenie Meyer,3.71,1564986,49778,541,The Twilight Saga,3
40,6892870,The Girl Who Kicked the Hornet's Nest,Stieg Larsson,4.22,690054,49473,544,Millennium,3
41,19501,"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia",Elizabeth Gilbert,3.59,1583829,46250,493,,
42,49041,New Moon,Stephenie Meyer,3.56,1621773,45853,503,The Twilight Saga,2
43,186074,The Name of the Wind,Patrick Rothfuss,4.51,801667,44766,463,The Kingkiller Chronicle,1
44,4929,Kafka on the Shore,Haruki Murakami,4.13,358896,43851,459,,
45,3777732,City of Glass,Cassandra Clare,4.29,873019,41881,455,The Mortal Instruments,3
46,2213661,The Graveyard Book,Neil Gaiman,4.13,483572,41256,442,,
47,31685789,Room,Emma Donoghue,4.06,767322,40603,439,,
48,19288043,Gone Girl,Gillian Flynn,4.09,2573355,37823,415,,
49,1582996,City of Ashes,Cassandra Clare,4.13,832736,37578,416,The Mortal Instruments,2
50,1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,3.99,772026,36993,387,,
51,3805,The Corrections,Jonathan Franzen,3.80,168047,35964,380,,
52,9361589,The Night Circus,Erin Morgenstern,4.03,786265,35757,384,,
53,297673,The Brief Wondrous Life of Oscar Wao,Junot Díaz,3.89,244932,35636,373,,
54,21996,The Devil in the White City,Erik Larson,3.98,587981,34244,368,,
55,40440,The Thirteenth Tale,Diane Setterfield,3.96,296233,33023,352,,
56,12691,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,4.12,462448,33016,358,,
57,18660669,Vampire Academy,Richelle Mead,4.11,601708,32695,354,Vampire Academy,1
58,5826,Bel Canto,Ann Patchett,3.92,257158,32562,348,,
59,3153910,The Art of Racing in the Rain,Garth Stein,4.21,475076,32343,350,,
60,37470,The Other Boleyn Girl,Philippa Gregory,4.07,475759,32218,353,The Plantagenet and Tudor Novels,9
61,12497,No Country for Old Men,Cormac McCarthy,4.09,176931,32046,342,,
62,10692,The Historian,Elizabeth Kostova,3.79,258996,32019,342,,
63,991197,"The Complete Persepolis (Persepolis, #1-4)",Marjane Satrapi,4.33,151792,31858,339,,
